0001606163,2016-03-21,2015-12-31,https://www.sec.gov/Archives/edgar/data/1606163/000114420416089184/v434424_10k.htm
0001591890,2016-03-17,2015-12-31,https://www.sec.gov/Archives/edgar/data/1591890/000138713116004603/pih-10k_123115.htm
0001141807,2016-03-22,2015-12-31,https://www.sec.gov/Archives/edgar/data/1141807/000114180716000010/fccy-20151231x10k.htm
0000034782,2016-02-19,2015-12-31,https://www.sec.gov/Archives/edgar/data/34782/000003478216000102/srce-20151231x10k.htm
0001420525,2016-03-04,2015-12-31,https://www.sec.gov/Archives/edgar/data/1420525/000143774916026765/fcty20151231_10k.htm
0000038723,2016-03-30,2015-12-31,https://www.sec.gov/Archives/edgar/data/38723/000137647416000618/ff_10k.htm
0001347858,2016-02-18,2015-12-31,https://www.sec.gov/Archives/edgar/data/1347858/000114420416083153/v430187_10k.htm
0001459417,2016-03-10,2015-12-31,https://www.sec.gov/Archives/edgar/data/1459417/000104746916010989/a2227489z10-k.htm
0000910638,2016-03-14,2015-12-31,https://www.sec.gov/Archives/edgar/data/910638/000091063816000016/ddd-20151231x10k.htm
0001375195,2016-03-30,2015-12-31,https://www.sec.gov/Archives/edgar/data/1375195/000114420416091408/v433530_10k.htm
